transcript_id;mi_quality;Evocation;Collaboration;Autonomy;Direction;Empathy;Non-Judgmental Attitude;Competence;Ethical Behavior;Reflectiveness
3;high;2;3;4;2;3;4;3;5;2
4;high;3;4;4;3;4;5;4;5;3
6;high;3;4;5;3;4;5;4;5;3
7;high;4;5;5;4;4;5;4;5;4
8;high;3;4;4;3;4;5;4;5;3
10;low;1;2;2;2;1;3;3;4;1
11;high;1;2;2;3;2;3;3;4;2
12;high;3;4;4;4;4;4;5;5;4
13;high;3;4;4;4;4;4;5;5;3
14;high;4;4;3;4;4;5;4;5;3
16;high;4;4;3;4;4;5;4;5;4
19;high;3;3;3;3;4;4;3;4;3
20;high;4;4;3;5;4;4;5;5;4
21;high;5;4;4;4;5;5;3;4;5
22;high;4;5;5;5;4;4;4;5;4
23;high;4;3;4;3;5;5;4;5;4
24;high;3;4;4;3;4;4;4;5;3
25;high;4;5;4;4;4;5;5;5;4
26;high;3;4;3;4;4;4;4;5;4
27;low;2;1;1;3;2;1;3;3;2
28;high;3;2;3;3;3;4;3;3;3
32;low;2;2;2;3;2;2;4;4;3
33;high;4;4;4;3;4;4;4;4;3
34;high;4;4;4;3;4;4;4;4;3
35;high;4;4;3;4;3;4;4;4;4
36;high;5;5;4;4;5;5;5;5;4
38;high;4;5;4;3;5;5;5;5;4
40;high;4;5;5;4;5;5;4;4;4
41;high;5;5;5;4;5;5;4;5;4
42;high;4;3;3;4;4;3;4;5;4
43;high;5;4;4;5;5;5;5;5;4
44;low;2;1;1;2;2;1;2;2;1
45;high;2;2;3;3;3;3;2;4;2
46;high;4;4;4;5;5;5;4;5;4
49;high;4;4;4;4;4;5;4;4;4
50;high;3;4;4;4;3;4;4;4;3
51;high;4;4;4;4;5;5;5;5;4
53;low;3;2;2;4;3;3;3;3;2
54;high;4;4;4;4;5;4;4;4;4
56;high;4;5;4;4;5;5;5;5;4
57;low;1;1;1;4;1;2;2;1;1
61;high;3;4;4;4;4;4;3;4;4
62;high;4;5;;4;4;5;5;5;4
63;high;4;4;3;5;4;5;5;4;5
64;high;5;5;4;5;5;5;5;5;4
65;high;5;5;4;5;5;5;4;4;5
66;high;4;5;4;4;5;4;4;5;4
67;high;4;5;4;5;5;4;5;4;4
68;high;4;5;4;5;5;5;5;;5
69;low;2;3;2;2;2;3;3;3;2
70;high;3;4;4;4;4;5;4;5;3
71;high;4;4;3;4;4;5;4;5;4
72;low;3;3;2;4;2;2;3;3;3
73;high;4;3;3;3;4;4;4;4;3
76;high;4;4;4;4;4;5;4;5;4
78;high;4;4;4;4;4;4;4;4;4
79;high;5;4;4;3;5;5;5;5;4
80;high;4;5;4;4;5;5;5;5;4
81;high;3;5;4;4;4;5;4;5;4
82;high;4;5;4;5;4;5;5;5;4
83;high;5;5;4;5;5;5;5;5;5
86;high;4;5;4;4;5;5;5;5;4
87;high;5;5;4;4;5;5;5;5;5
88;high;5;5;4;5;5;5;5;5;5
90;low;3;2;2;2;2;1;2;2;2
91;high;3;3;2;3;3;3;3;3;3
93;high;5;5;4;4;5;5;4;5;4
94;high;4;4;3;4;5;5;4;5;4
95;high;5;5;4;5;5;4;4;5;4
96;high;4;4;3;5;4;4;5;5;4
97;high;4;3;4;3;4;4;4;4;3
98;high;2;3;4;4;4;4;4;4;5
99;high;5;4;4;4;5;5;5;5;4
100;high;5;5;4;4;5;5;5;5;4
102;low;2;2;1;4;1;1;3;3;2
104;high;4;4;3;4;4;4;4;4;4
105;high;4;4;4;3;5;5;4;5;4
106;low;2;1;1;4;2;2;4;3;3
108;high;4;4;4;4;5;5;5;5;4
109;high;5;5;4;5;5;5;5;5;4
111;high;4;5;4;5;5;5;5;5;4
112;high;4;4;5;5;5;5;5;5;4
113;high;4;4;3;5;5;5;5;5;4
114;high;4;3;4;3;5;5;4;5;3
115;low;2;2;3;2;4;3;4;5;3
116;high;4;4;4;3;5;4;5;5;4
117;high;4;4;4;5;4;5;4;5;4
119;high;4;5;5;5;5;5;4;5;4
120;high;4;5;4;4;5;5;5;5;4
121;high;4;5;5;5;5;5;5;5;4
122;high;4;4;5;3;4;5;5;5;4
123;low;3;2;2;4;3;2;4;3;3
125;high;4;4;5;3;5;5;5;5;4
126;low;3;3;3;3;4;4;4;5;3
131;low;2;2;3;3;3;4;3;3;2
132;high;3;4;4;4;4;4;4;4;4
133;high;4;5;4;3;5;5;4;5;4
